term_slug,related_term_slug,relationship_type
artificial-intelligence,machine-learning,see_also
artificial-intelligence,traditional-ai,see_also
artificial-intelligence,generative-ai,see_also
artificial-intelligence,artificial-general-intelligence,see_also
machine-learning,deep-learning,see_also
machine-learning,neural-network,see_also
machine-learning,supervised-learning,see_also
machine-learning,unsupervised-learning,see_also
machine-learning,reinforcement-learning,see_also
deep-learning,neural-network,see_also
deep-learning,transformer,see_also
deep-learning,convolutional-neural-network,see_also
algorithm,machine-learning,see_also
algorithm,model,see_also
natural-language-processing,large-language-model,see_also
natural-language-processing,sentiment-analysis,see_also
natural-language-processing,chatbot,see_also
generative-ai,large-language-model,see_also
generative-ai,diffusion-model,see_also
generative-ai,generative-adversarial-network,see_also
generative-ai,traditional-ai,see_also
large-language-model,transformer,see_also
large-language-model,hallucination,see_also
large-language-model,token-tokenization,see_also
large-language-model,foundation-model,see_also
artificial-general-intelligence,artificial-narrow-intelligence,see_also
artificial-general-intelligence,artificial-superintelligence,see_also
artificial-general-intelligence,large-language-model,see_also
chatbot,large-language-model,see_also
chatbot,conversational-ai,see_also
model,large-language-model,see_also
model,foundation-model,see_also
model,parameters,see_also
ai-agent-agentic-ai,automation,see_also
ai-agent-agentic-ai,coding-agents,see_also
ai-agent-agentic-ai,model-context-protocol,see_also
prompt,prompt-engineering,see_also
prompt,meta-prompt-system-prompt,see_also
prompt,context-window,see_also
prompt-engineering,chain-of-thought,see_also
prompt-engineering,zero-shot-learning,see_also
prompt-engineering,few-shot-learning,see_also
context-window,token-tokenization,see_also
context-window,retrieval-augmented-generation,see_also
hallucination,retrieval-augmented-generation,see_also
hallucination,grounding,see_also
hallucination,ai-safety,see_also
bias,ai-ethics,see_also
bias,fairness,see_also
bias,responsible-ai,see_also
bias,hallucination,see_also
fine-tuning,pretraining,see_also
fine-tuning,transfer-learning,see_also
fine-tuning,foundation-model,see_also
fine-tuning,instruction-tuning,see_also
training-data,dataset,see_also
training-data,fine-tuning,see_also
training-data,bias,see_also
training-data,synthetic-data,see_also
dataset,synthetic-data,see_also
dataset,data-augmentation,see_also
retrieval-augmented-generation,vector-database,see_also
retrieval-augmented-generation,embeddings,see_also
retrieval-augmented-generation,grounding,see_also
reinforcement-learning,reinforcement-learning-from-human-feedback,see_also
