term_slug,source_name,url,source_type
artificial-intelligence,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
machine-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
deep-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
algorithm,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
natural-language-processing,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
generative-ai,mitsloanedtech.mit.edu,https://mitsloanedtech.mit.edu/ai/basics/glossary/,further_reading
large-language-model,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
artificial-general-intelligence,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
chatbot,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
model,zendesk.com,https://www.zendesk.com/blog/ai/generative-ai/generative-ai-glossary/,further_reading
ai-agent-agentic-ai,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
prompt,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
prompt-engineering,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
context-window,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
hallucination,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
bias,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
fine-tuning,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
training-data,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
dataset,en.wikipedia.org,https://en.wikipedia.org/wiki/Data_set,further_reading
token-tokenization,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
retrieval-augmented-generation,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
reinforcement-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
supervised-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
unsupervised-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
artificial-narrow-intelligence,zendesk.com,https://www.zendesk.com/blog/ai/generative-ai/generative-ai-glossary/,further_reading
foundation-model,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
multimodal-ai,mitsloanedtech.mit.edu,https://mitsloanedtech.mit.edu/ai/basics/glossary/,further_reading
automation,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
computer-vision,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
prompt-injection,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
chain-of-thought,mitsloanedtech.mit.edu,https://mitsloanedtech.mit.edu/ai/basics/glossary/,further_reading
meta-prompt-system-prompt,mitsloanedtech.mit.edu,https://mitsloanedtech.mit.edu/ai/basics/glossary/,further_reading
temperature,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
guardrails,cnet.com,https://www.cnet.com/tech/services-and-software/artificial-intelligence-ai-terms-glossary/,further_reading
human-in-the-loop,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
inference,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
zero-shot-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
latency,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
open-source,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
anthropomorphism,zendesk.com,https://www.zendesk.com/blog/ai/generative-ai/generative-ai-glossary/,further_reading
grounding,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
embeddings,docs.cloud.google.com,https://docs.cloud.google.com/docs/generative-ai/glossary,further_reading
vector-database,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
model-context-protocol,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
transformer,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
gpt,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
reinforcement-learning-from-human-feedback,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
transfer-learning,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
pretraining,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
reasoning-model,mitsloanedtech.mit.edu,https://mitsloanedtech.mit.edu/ai/basics/glossary/,further_reading
parameters,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
generative-adversarial-network,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
diffusion-model,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
gpu,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
compute,techcrunch.com,https://techcrunch.com/2026/07/03/artificial-intelligence-definition-glossary-hallucinations-guide-to-common-ai-terms/,further_reading
model-drift,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
synthetic-data,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
explainable-ai,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
ai-alignment,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
ai-safety,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
ai-ethics,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
responsible-ai,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
overfitting,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
chatgpt,ai-toolbox.co,https://www.ai-toolbox.co/chatgpt-glossary,further_reading
dall-e,ai-toolbox.co,https://www.ai-toolbox.co/chatgpt-glossary,further_reading
claude,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
google-gemini,inboundblogging.com,https://inboundblogging.com/ai-seo-glossary/,further_reading
microsoft-copilot,inboundblogging.com,https://inboundblogging.com/ai-seo-glossary/,further_reading
perplexity-ai,inboundblogging.com,https://inboundblogging.com/ai-seo-glossary/,further_reading
sora,techcrunch.com,https://techcrunch.com/2026/07/03/artificial-intelligence-definition-glossary-hallucinations-guide-to-common-ai-terms/,further_reading
neural-network,hai.stanford.edu,https://hai.stanford.edu/ai-definitions,further_reading
hhh,platform.claude.com,https://platform.claude.com/docs/en/about-claude/glossary,further_reading
ai-agent-agentic-ai,Pragmatic Institute,https://www.pragmaticinstitute.com/resources/articles/product/ai-agents-for-product-managers/,further_reading
ai-agent-agentic-ai,IBM Technology (YouTube),https://www.youtube.com/watch?v=2j26a5dmCnI,video
ai-agent-agentic-ai,Mind the Product,https://www.mindtheproduct.com/product-management-for-agentic-ai-when-to-build-agents-and-wow-to-do-it-well/,further_reading
ai-agent-agentic-ai,freeCodeCamp,https://www.freecodecamp.org/news/the-agentic-ai-handbook/,further_reading
algorithm,Medium (Design Bootcamp),https://medium.com/design-bootcamp/algorithms-a-product-managers-guide-to-the-unsung-heroes-of-technology-ee04b98a1639,further_reading
algorithm,Stanford GSB,https://www.gsb.stanford.edu/insights/explainer-what-algorithm,further_reading
artificial-general-intelligence,AWS,https://aws.amazon.com/what-is/artificial-general-intelligence/,further_reading
artificial-general-intelligence,IBM Technology (YouTube),https://www.youtube.com/watch?v=rBlCOLfMYfw,video
artificial-general-intelligence,Medium (David Haberlah),https://medium.com/@haberlah/the-future-of-product-management-in-an-age-of-artificial-general-intelligence-agi-4a19ceb54451,further_reading
artificial-intelligence,Pragmatic Institute,https://www.pragmaticinstitute.com/resources/articles/product/how-to-learn-ai-as-a-product-manager-start-here/,further_reading
artificial-intelligence,Crash Course AI (PBS Digital Studios YouTube),https://www.youtube.com/watch?v=a0_lo_GDcFw,video
artificial-intelligence,Aakash Gupta,https://www.aakashg.com/ai-product-management/,further_reading
bias,ITRex,https://itrexgroup.com/blog/ai-bias-definition-types-examples-debiasing-strategies/,further_reading
bias,IBM Technology - Martin Keen (YouTube),https://www.youtube.com/watch?v=og67qeTZPYs,video
bias,Product School,https://productschool.com/blog/artificial-intelligence/ai-ethics-product-management,further_reading
bias,Kevin Armstrong,https://kevinarmstrong.io/blog/responsible-ai-for-product-managers-a-practical-playbook/,further_reading
chatbot,boost.ai,https://boost.ai/learn/chatbot/how-do-chatbots-work/,further_reading
